Video Title,Comment
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Dari pada ga ada mending bu airin aja lah. No 1 ayo maju. Untuk provinsi banten  yang lebih baik lagi
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Airin gubernur
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Kabuten pandeglang wilayah tertinggal.
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Pqk dim yg di omongin aib dia semua
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Calon Wagub no 2 itu pernah korupsi 2 milyar dan kasus selingkuh dengan si Sinta.
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Kami lebih percaya ke perempuan yg menjabat jdi gubernur Banten udah jelas kinerja nya
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",AIRIN FOR BANTEN 1
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Masyarakat BANTEN jangan tergiur dengan janji janji . 😩🥱
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Dimyati monopoli dulu anda bupati dua periode sekarang istri anda bupati Pandeglang
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimyati itu calon paling buruk, jamgan tertipu. Saya warga pandeglang sedih dan menyesalkan pandeglamg dipimpin dia dan istrinya selama 20tahun kami stuck bahkan mundur tapi kekayaannya malah makin bertambah pesat"
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Tidak ada pilihan kedua pasang ini Minus.. Smuanya rekam jejak Buruk..!!!
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Pamulang dukung airin ❤
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Airin no Comment ⛔⛔
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimana mana pemimpin itu laki laki , imam itu laki laki bukan perempuan , jadi seharus nya lebih baik perempuan itu menjadi wakil , jangan sampe kaya Atut lagi korupsi ,"
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Mantep no 1
